lat,lon,unit_name,lith,age_top_ma,age_bottom_ma,interval,source_id,precambrian
21.7,80.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.7,80.75,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.7,80.85,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.7,80.95,Neoproterozoic sedimentary rocks,sedimentary rocks,541.0,1000.0,Neoproterozoic,154,True
21.8,78.55,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.8,78.65,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks; basalt,23.03,145.0,Phanerozoic,154,False
21.8,78.75,Proterozoic intrusive rocks,intrusive igneous rocks,541.0,2500.0,Proterozoic,154,True
21.8,78.85,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,78.95,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,79.05,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks,23.03,145.0,Phanerozoic,154,False
21.8,79.15,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks,23.03,145.0,Phanerozoic,154,False
21.8,79.25,Mesozoic-Cenozoic volcanic rocks,flood basalt(s); mafic volcanic rocks,23.03,145.0,Phanerozoic,154,False
21.8,79.35,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,79.45,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,79.55,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,79.65,Archean crystalline metamorphic rocks,crystalline metamorphic rocks,2500.0,4000.0,Archean,154,True
21.8,79.75,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.8,79.85,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.8,79.95,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.8,80.05,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.8,80.15,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
21.8,80.25,Mesoproterozoic sedimentary and volcanic rocks,sedimentary and volcanic rocks,1000.0,1600.0,Mesoproterozoic,154,True
